wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_a_mod_clip, d_b_mod_clip, d_c_mod_clip, d_zero, c
2.516039000894795929e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.260772571969960065e-01,5.074835494279815729e-01,-1.233560806624977468e+00,9.798190319109867374e-01,7.612253241419723038e-01,-9.798190319109867374e-01,9.798190319109867374e-01,7.612253241419723038e-01,-9.798190319109867374e-01,-2.537417747139907309e-01,9.823982398239827774e-01
2.516667382263650943e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.254454696943529735e-01,5.081943983376948637e-01,-1.233639868032047726e+00,9.795426688632002943e-01,7.622915975065422955e-01,-9.795426688632002943e-01,9.795426688632002943e-01,7.622915975065422955e-01,-9.795426688632002943e-01,-2.540971991688473763e-01,9.783978397839767638e-01
2.543059399755554395e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.986548226768665160e-01,5.378653969410114311e-01,-1.236520219617877725e+00,9.675875211473721205e-01,8.067980954115170356e-01,-9.675875211473721205e-01,9.675875211473721205e-01,8.067980954115170356e-01,-9.675875211473721205e-01,-2.689326984705056045e-01,8.103810381038094590e-01
2.543687781124408964e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,6.980109445080444619e-01,5.385673647628849148e-01,-1.236578309270929044e+00,9.672946268894867528e-01,8.078510471443272056e-01,-9.672946268894867528e-01,9.672946268894867528e-01,8.078510471443272056e-01,-9.672946268894867528e-01,-2.692836823814422909e-01,8.063806380638069982e-01
2.827716159846798583e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,3.828475822927137062e-01,8.299824926356983434e-01,-1.212830074928411772e+00,5.742713734390704206e-01,1.021406283782055002e+00,-1.021406283782055002e+00,5.742713734390704206e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.914237911463567143e-01,-9.981998199819983597e-01
3.019372477347526118e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.511759895229129180e-01,9.902728616094989000e-01,-1.141448851132411457e+00,2.267639842843691966e-01,1.065860856370955290e+00,-1.065860856370955290e+00,2.267639842843691966e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-7.558799476145627860e-02,2.219221922192211593e-01
3.020000858716381131e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.504025792913942783e-01,9.907416253862816324e-01,-1.141144204677675411e+00,2.256038689370911676e-01,1.065942915031978577e+00,-1.065942915031978577e+00,2.256038689370911676e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-7.520128964569688934e-02,2.259225922592271729e-01
3.141278462905365831e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,3.895964422800981533e-04,1.073676649467529609e+00,-1.074066245909809370e+00,5.843946634199783654e-04,1.073871447688669489e+00,-1.073871447688669489e+00,5.843946634199783654e-04,1.000000000000000000e+00,-1.000000000000000000e+00,-1.947982211398802121e-04,9.979997999799969932e-01
3.362468704742270997e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-2.716647493903997512e-01,1.183615127919354082e+00,-9.119503785289537756e-01,-4.074971240855999044e-01,1.047782753224153929e+00,-1.047782753224153929e+00,-4.074971240855999044e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.358323746952001532e-01,-4.061406140614067795e-01
3.363097086111126011e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-2.724249588081414930e-01,1.183847187383806787e+00,-9.114222285756649056e-01,-4.086374382122124338e-01,1.047634707979735902e+00,-1.047634707979735902e+00,-4.086374382122124338e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.362124794040709408e-01,-4.101410141014127930e-01
3.455469147332788094e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-3.828475822927139283e-01,1.212830074928411994e+00,-8.299824926356974553e-01,-5.742713734390711977e-01,1.021406283782054780e+00,-1.021406283782054780e+00,-5.742713734390711977e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.914237911463572694e-01,-9.981998199819983597e-01
3.507624800947739985e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-4.438124393542507984e-01,1.224638930326290565e+00,-7.808264909720391556e-01,-6.657186590313765029e-01,1.002732710649164805e+00,-1.002732710649164805e+00,-6.657186590313765029e-01,1.000000000000000000e+00,-1.000000000000000000e+00,2.219062196771257045e-01,-6.697669766976694916e-01
3.508253182316594998e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-4.445399268225268541e-01,1.224760955937114870e+00,-7.802210291145876830e-01,-6.668098902337904477e-01,1.002490992525851166e+00,-1.002490992525851166e+00,-6.668098902337904477e-01,1.000000000000000000e+00,-1.000000000000000000e+00,2.222699634112635936e-01,-6.657665766576634780e-01
3.766517924915935733e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-7.254454696943531955e-01,1.233639868032047504e+00,-5.081943983376939755e-01,-9.795426688632002943e-01,9.795426688632002943e-01,-7.622915975065411853e-01,-9.795426688632002943e-01,9.795426688632002943e-01,-7.622915975065411853e-01,2.540971991688471543e-01,9.783978397839803165e-01
3.767146306284790747e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-7.260772571969963396e-01,1.233560806624977468e+00,-5.074835494279805737e-01,-9.798190319109869595e-01,9.798190319109869595e-01,-7.612253241419710825e-01,-9.798190319109869595e-01,9.798190319109869595e-01,-7.612253241419710825e-01,2.537417747139905644e-01,9.823982398239827774e-01
3.769659831760209912e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-7.286015377031735962e-01,1.233239690434932756e+00,-5.046381527317584936e-01,-9.809206140690531761e-01,9.809206140690531761e-01,-7.569572290976380735e-01,-9.809206140690531761e-01,9.809206140690531761e-01,-7.569572290976380735e-01,2.523190763658795799e-01,9.983998399839961735e-01
3.772173357235629521e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-7.311212150454641234e-01,1.232910782874552247e+00,-5.017895678290875683e-01,-9.820159989600081296e-01,9.820159989600081296e-01,-7.526843517436316855e-01,-9.820159989600081296e-01,9.820159989600081296e-01,-7.526843517436316855e-01,2.508947839145440617e-01,9.855985598559868777e-01
3.772801738604484090e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-7.317504132705500153e-01,1.232827338825273289e+00,-5.010769255547227186e-01,-9.822888760479115966e-01,9.822888760479115966e-01,-7.516153883320844109e-01,-9.822888760479115966e-01,9.822888760479115966e-01,-7.516153883320844109e-01,2.505384627773616368e-01,9.815981598159808641e-01
3.985823022646276304e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-9.268504775852189903e-01,1.176805322724056468e+00,-2.499548451388370618e-01,-1.051827900154637785e+00,1.051827900154637785e+00,-3.749322677082558286e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-3.749322677082558286e-01,1.249774225694187391e-01,-3.745374537453756147e-01
3.986451404015131317e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-9.273679176609997965e-01,1.176559515270630296e+00,-2.491915976096301111e-01,-1.051963716465815102e+00,1.051963716465815102e+00,-3.737873964144453609e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-3.737873964144453609e-01,1.245957988048152498e-01,-3.785378537853816283e-01
4.083850516187632174e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.003020749431104308e+00,1.132907264285020421e+00,-1.298865148539154191e-01,-1.067964006858062476e+00,1.067964006858062476e+00,-1.948297722808734755e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-1.948297722808734755e-01,6.494325742695805648e-02,-9.985998599860010927e-01
4.262310824942407983e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.116512249801869805e+00,1.025428787876600856e+00,9.108346192526936558e-02,-1.070970518839235330e+00,1.070970518839235330e+00,1.366251928879038402e-01,-1.000000000000000000e+00,1.000000000000000000e+00,1.366251928879038402e-01,-4.554173096263447462e-02,1.347134713471369594e-01
4.262939206311262552e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.116851006234125698e+00,1.024990474375477856e+00,9.186053185864835602e-02,-1.070920740304801777e+00,1.070920740304801777e+00,1.377907977879722634e-01,-1.000000000000000000e+00,1.000000000000000000e+00,1.377907977879722634e-01,-4.593026592932392127e-02,1.387138713871394202e-01
4.398041200615054436e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.179237824097288501e+00,9.216559817618301675e-01,2.575818423354586661e-01,-1.050446902929559334e+00,1.050446902929559334e+00,3.863727635031878327e-01,-1.000000000000000000e+00,1.000000000000000000e+00,3.863727635031878327e-01,-1.287909211677291665e-01,9.987998799880024592e-01
4.472818583508781032e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.204585603726572751e+00,8.571067388271346177e-01,3.474788648994385221e-01,-1.030846171276853740e+00,1.030846171276853740e+00,5.212182973491575888e-01,-1.000000000000000000e+00,1.000000000000000000e+00,5.212182973491575888e-01,-1.737394324497190667e-01,5.251525152515199579e-01
4.473446964877635601e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.204770256923031413e+00,8.565434866266754543e-01,3.482267702963562361e-01,-1.030656871774853434e+00,1.030656871774853434e+00,5.223401554445341599e-01,-1.000000000000000000e+00,1.000000000000000000e+00,5.223401554445341599e-01,-1.741133851481779793e-01,5.211521152115210498e-01
4.702177783140799150e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.239935354061239225e+00,6.309330001800781407e-01,6.090023538811613069e-01,-9.354341771206586831e-01,9.354341771206586831e-01,9.135035308217418493e-01,-9.354341771206586831e-01,9.354341771206586831e-01,9.135035308217418493e-01,-3.045011769405805424e-01,-9.349934993499360303e-01
