wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_a_mod_clip, d_b_mod_clip, d_c_mod_clip, d_zero, c, dominant_phase_idx
2.199334790991954502e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.900886097712173539e+00,2.461558950860514572e-01,-2.147041992798224719e+00,3.047928090510398036e+00,1.393197887884276120e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.147041992798224719e+00,-9.985998599859975400e-01,2.000000000000000000e+00
2.513525475419376765e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.380817430324562611e+00,9.563706926771250449e-01,-2.337188123001687323e+00,2.718005553326249935e+00,2.293558815678812479e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.337188123001687323e+00,9.983998399839961735e-01,2.000000000000000000e+00
2.533633679222731416e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.342304361752213682e+00,9.993385405335445393e-01,-2.341642902285757888e+00,2.683947264037971792e+00,2.340981442819302316e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.341642902285757888e+00,8.703870387038712408e-01,2.000000000000000000e+00
2.534262060591586430e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.341092001605828088e+00,1.000674865037881167e+00,-2.341766866643708589e+00,2.682858868249536677e+00,2.342441731681589978e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.341766866643708589e+00,8.663866386638652273e-01,2.000000000000000000e+00
2.617836782649280547e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.175319699609161272e+00,1.174680271393077069e+00,-2.349999971002238119e+00,2.525319670611399392e+00,2.524680242395315410e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.349999971002238119e+00,3.343334333433354288e-01,2.000000000000000000e+00
2.702039886075829678e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000006752143938638e+00,1.341698247902419316e+00,-2.341705000046357288e+00,2.341711752190295925e+00,2.683403247948776382e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.341705000046357288e+00,-2.017201720172039359e-01,2.000000000000000000e+00
2.702668267444684691e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,9.986702302726613301e-01,1.342910343095379488e+00,-2.341580573368040596e+00,2.340250803640701704e+00,2.684490916463420085e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.341580573368040596e+00,-2.057205720572063967e-01,2.000000000000000000e+00
2.827716159846798583e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,7.255579180547396811e-01,1.572950691688622005e+00,-2.298508609743361131e+00,2.024066527798100701e+00,2.871459301431983135e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.298508609743361131e+00,-9.981998199819983597e-01,2.000000000000000000e+00
3.141278462905365831e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,7.383480962566376423e-04,2.034790424394108843e+00,-2.035528772490364791e+00,1.036267120586621404e+00,3.070319196884473634e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.035528772490364791e+00,9.979997999799969932e-01,2.000000000000000000e+00
3.141906844274220845e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-7.383480962571056924e-04,2.035528772490365679e+00,-2.034790424394107511e+00,-1.036267120586622736e+00,1.000000000000000000e+00,-3.070319196884473190e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.035528772490365679e+00,9.979997999799969932e-01,1.000000000000000000e+00
3.455469147332788094e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-7.255579180547401252e-01,2.298508609743361575e+00,-1.572950691688620228e+00,-2.024066527798101589e+00,1.000000000000000000e+00,-2.871459301431981803e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.298508609743361575e+00,-9.981998199819983597e-01,1.000000000000000000e+00
3.580517039734901985e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-9.986702302726616631e-01,2.341580573368040596e+00,-1.342910343095377934e+00,-2.340250803640702149e+00,1.000000000000000000e+00,-2.684490916463418309e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.341580573368040596e+00,-2.057205720572063967e-01,1.000000000000000000e+00
3.581145421103756554e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000006752143937971e+00,2.341705000046357732e+00,-1.341698247902418428e+00,-2.341711752190295925e+00,1.000000000000000000e+00,-2.683403247948776382e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.341705000046357732e+00,-2.017201720172039359e-01,1.000000000000000000e+00
