wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_zero, c
2.051665169311065906e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,8.865933746583826158e-01,-4.271693121451211606e-02,-8.438764434438704720e-01,8.652349090511265439e-01,-6.407539682176818796e-02,-8.652349090511265439e-01,2.135846560725607191e-02,-6.130613061306178224e-02
2.052293550679920919e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,8.863025420474474059e-01,-4.208911503019841654e-02,-8.442134270172489963e-01,8.652579845323482566e-01,-6.313367254529761441e-02,-8.652579845323482566e-01,2.104455751509920480e-02,-6.530653065306424310e-02
2.177341443082034811e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,8.216223126204007521e-01,8.285126027954636818e-02,-9.044735728999470092e-01,8.630479427601738251e-01,1.242768904193194968e-01,-8.630479427601738251e-01,-4.142563013977312858e-02,-8.613861386138612630e-01
2.177969824450889824e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.212639527790862592e-01,8.347746482692798564e-02,-9.047414176060142310e-01,8.630026851925503006e-01,1.252161972403919576e-01,-8.630026851925503006e-01,-4.173873241346398588e-02,-8.653865386538672766e-01
2.199334790991954502e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.088877011541163453e-01,1.047471893983197705e-01,-9.136348905524360742e-01,8.612612958532761542e-01,1.571207840974796488e-01,-8.612612958532761542e-01,-5.237359469915986443e-02,-9.985998599859975400e-01
2.220699757533019181e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.961422372414767024e-01,1.259691026982958095e-01,-9.221113399397725674e-01,8.591267885906246349e-01,1.889536540474437420e-01,-8.591267885906246349e-01,-6.298455134914793252e-02,-8.625862586258623566e-01
2.221328138901874194e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,7.957618405308319876e-01,1.265924535737496803e-01,-9.223542941045816956e-01,8.590580673177068416e-01,1.898886803606245344e-01,-8.590580673177068416e-01,-6.329622678687485404e-02,-8.585858585858563430e-01
2.434349422943666408e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,6.497406679965415099e-01,3.334440272787381754e-01,-9.831846952752796298e-01,8.164626816359106254e-01,5.001660409181072353e-01,-8.164626816359106254e-01,-1.667220136393690599e-01,4.975497549755001359e-01
2.434977804312520977e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.492628719138962001e-01,3.340363804464268616e-01,-9.832992523603228952e-01,8.162810621371094921e-01,5.010545706696402091e-01,-8.162810621371094921e-01,-1.670181902232133475e-01,5.015501550155008204e-01
2.482106406976634538e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.127109098929690578e-01,3.780705861080604357e-01,-9.907814960010293825e-01,8.017462029469992757e-01,5.671058791620906536e-01,-8.017462029469992757e-01,-1.890352930540301624e-01,8.015801580158026240e-01
2.482734788345489108e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.122141746884984803e-01,3.786522523020682263e-01,-9.908664269905665956e-01,8.015403008395325379e-01,5.679783784531022839e-01,-8.015403008395325379e-01,-1.893261261510340576e-01,8.055805580558050849e-01
2.513525475419376765e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.875818852444947282e-01,4.069662522030318974e-01,-9.945481374475264591e-01,7.910650113460105937e-01,6.104493783045477073e-01,-7.910650113460105937e-01,-2.034831261015158654e-01,9.983998399839961735e-01
2.547458069337538156e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.597918519408997540e-01,4.377215291373768302e-01,-9.975133810782763621e-01,7.786526165095880581e-01,6.565822937060651343e-01,-7.786526165095880581e-01,-2.188607645686883041e-01,7.823782378237815749e-01
2.548086450706393169e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.592710437512795618e-01,4.382864270268965745e-01,-9.975574707781760253e-01,7.784142572647277936e-01,6.574296405403448063e-01,-7.784142572647277936e-01,-2.191432135134482317e-01,7.783778377837755613e-01
2.563167603558909047e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.467058708342298345e-01,4.517915454255239105e-01,-9.984974162597535230e-01,7.726016435469916788e-01,6.776873181382857547e-01,-7.726016435469916788e-01,-2.258957727127618442e-01,6.823682368236809737e-01
2.563795984927764060e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,5.461796036766026763e-01,4.523520499980482890e-01,-9.985316536746507987e-01,7.723556286756267930e-01,6.785280749970723502e-01,-7.723556286756267930e-01,-2.261760249990240612e-01,6.783678367836749601e-01
2.798182235510620952e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,3.367003340795315380e-01,6.471096196898125097e-01,-9.838099537693436591e-01,5.050505011192971683e-01,8.154597867295780844e-01,-8.154597867295780844e-01,-1.683501670397655747e-01,-8.137813781378149258e-01
2.798810616879475965e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.361085762969706070e-01,6.475885679501369729e-01,-9.836971442471073024e-01,5.041628644454557717e-01,8.156428560986221932e-01,-8.156428560986221932e-01,-1.680542881484851647e-01,-8.177817781778173867e-01
2.827716159846798583e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.087480502360594459e-01,6.693407198674986569e-01,-9.780887701035578807e-01,4.631220753540890578e-01,8.237147449855282133e-01,-8.237147449855282133e-01,-1.543740251180296119e-01,-9.981998199819983597e-01
2.853479795969847466e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.841433743686833657e-01,6.882577095623855223e-01,-9.724010839310686105e-01,4.262150615530249098e-01,8.303293967467271219e-01,-8.303293967467271219e-01,-1.420716871843415441e-01,-8.341834183418335158e-01
2.854108177338702035e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,2.835408376886301429e-01,6.887134431434557280e-01,-9.722542808320855379e-01,4.253112565329450478e-01,8.304838619877705774e-01,-8.304838619877705774e-01,-1.417704188443149049e-01,-8.301830183018310549e-01
