id_A,iq_A,psi_f_Vs_if2,psi_f_Vs_if3,psi_f_Vs_if4,psi_f_Vs_if5
-20.0,25.0,0.2912419650729241,0.4735082653716108,0.6547830828844011,0.8370493831830876
-15.0,25.0,0.2973133936443527,0.4795796939430393,0.6608545114558296,0.8431208117545161
-10.0,25.0,0.3033848222157813,0.4856511225144679,0.6669259400272582,0.8491922403259448
-5.0,25.0,0.3094562507872098,0.4917225510858964,0.6729973685986869,0.8552636688973734
0.0,25.0,0.3155276793586384,0.497793979657325,0.6790687971701154,0.8613350974688019
5.0,25.0,0.321599107930067,0.5038654082287536,0.685140225741544,0.8674065260402305
10.0,25.0,0.3276705365014956,0.5099368368001822,0.6912116543129725,0.873477954611659
-30.0,30.0,0.2540265800021666,0.4331038397552173,0.6111845397594582,0.7902617995125089
-25.0,30.0,0.2598122942878809,0.4388895540409316,0.6169702540451725,0.7960475137982231
-20.0,30.0,0.2655980085735952,0.4446752683266459,0.6227559683308868,0.8018332280839374
-15.0,30.0,0.2713837228593095,0.4504609826123602,0.628541682616601,0.8076189423696517
-10.0,30.0,0.2771694371450238,0.4562466968980744,0.6343273969023153,0.813404656655366
-5.0,30.0,0.282955151430738,0.4620324111837887,0.6401131111880296,0.8191903709410803
0.0,30.0,0.2887408657164523,0.467818125469503,0.6458988254737439,0.8249760852267946
5.0,30.0,0.2945265800021666,0.4736038397552173,0.6516845397594582,0.8307617995125088
10.0,30.0,0.3003122942878809,0.4793895540409316,0.6574702540451725,0.8365475137982231
-30.0,35.0,0.24,0.4096901794150156,0.585768133006429,0.7628446991288598
-25.0,35.0,0.24,0.4151901794150156,0.5912681330064291,0.7683446991288598
-20.0,35.0,0.2436136132925849,0.4206901794150156,0.5967681330064291,0.7738446991288598
-15.0,35.0,0.2491136132925849,0.4261901794150156,0.6022681330064291,0.7793446991288598
-10.0,35.0,0.2546136132925849,0.4316901794150156,0.6077681330064291,0.7848446991288598
-5.0,35.0,0.2601136132925849,0.4371901794150156,0.613268133006429,0.7903446991288597
0.0,35.0,0.2656136132925849,0.4426901794150156,0.6187681330064291,0.7958446991288598
5.0,35.0,0.2711136132925849,0.4481901794150156,0.624268133006429,0.8013446991288597
10.0,35.0,0.2766136132925849,0.4536901794150156,0.6297681330064291,0.8068446991288598
